,Breast-AdenoCA::S.1,Breast-AdenoCA::S.2,Breast-AdenoCA::S.3,Breast-AdenoCA::S.4,Breast-AdenoCA::S.5,Breast-AdenoCA::S.6,Breast-AdenoCA::S.7,Breast-AdenoCA::S.8,Breast-AdenoCA::S.9,Breast-AdenoCA::S.10,Breast-AdenoCA::S.11,Breast-AdenoCA::S.12,Breast-AdenoCA::S.13,Breast-AdenoCA::S.14,Breast-AdenoCA::S.15,Breast-AdenoCA::S.16,Breast-AdenoCA::S.17,Breast-AdenoCA::S.18,Breast-AdenoCA::S.19,Breast-AdenoCA::S.20,Breast-AdenoCA::S.21,Breast-AdenoCA::S.22,Breast-AdenoCA::S.23,Breast-AdenoCA::S.24,Breast-AdenoCA::S.25,Breast-AdenoCA::S.26,Breast-AdenoCA::S.27,Breast-AdenoCA::S.28,Breast-AdenoCA::S.29,Breast-AdenoCA::S.30,Breast-AdenoCA::S.31,Breast-AdenoCA::S.32,Breast-AdenoCA::S.33,Breast-AdenoCA::S.34,Breast-AdenoCA::S.35,Breast-AdenoCA::S.36,Breast-AdenoCA::S.37,Breast-AdenoCA::S.38,Breast-AdenoCA::S.39,Breast-AdenoCA::S.40,Breast-AdenoCA::S.41,Breast-AdenoCA::S.42,Breast-AdenoCA::S.43,Breast-AdenoCA::S.44,Breast-AdenoCA::S.45,Breast-AdenoCA::S.46,Breast-AdenoCA::S.47,Breast-AdenoCA::S.48,Breast-AdenoCA::S.49,Breast-AdenoCA::S.50,Breast-AdenoCA::S.51,Breast-AdenoCA::S.52,Breast-AdenoCA::S.53,Breast-AdenoCA::S.54,Breast-AdenoCA::S.55,Breast-AdenoCA::S.56,Breast-AdenoCA::S.57,Breast-AdenoCA::S.58,Breast-AdenoCA::S.59,Breast-AdenoCA::S.60,Breast-AdenoCA::S.61,Breast-AdenoCA::S.62,Breast-AdenoCA::S.63,Breast-AdenoCA::S.64,Breast-AdenoCA::S.65,Breast-AdenoCA::S.66,Breast-AdenoCA::S.67,Breast-AdenoCA::S.68,Breast-AdenoCA::S.69,Breast-AdenoCA::S.70,Breast-AdenoCA::S.71,Breast-AdenoCA::S.72,Breast-AdenoCA::S.73,Breast-AdenoCA::S.74,Breast-AdenoCA::S.75,Breast-AdenoCA::S.76,Breast-AdenoCA::S.77,Breast-AdenoCA::S.78,Breast-AdenoCA::S.79,Breast-AdenoCA::S.80,Breast-AdenoCA::S.81,Breast-AdenoCA::S.82,Breast-AdenoCA::S.83,Breast-AdenoCA::S.84,Breast-AdenoCA::S.85,Breast-AdenoCA::S.86,Breast-AdenoCA::S.87,Breast-AdenoCA::S.88,Breast-AdenoCA::S.89,Breast-AdenoCA::S.90,Breast-AdenoCA::S.91,Breast-AdenoCA::S.92,Breast-AdenoCA::S.93,Breast-AdenoCA::S.94,Breast-AdenoCA::S.95,Breast-AdenoCA::S.96,Breast-AdenoCA::S.97,Breast-AdenoCA::S.98,Breast-AdenoCA::S.99,Breast-AdenoCA::S.100
SBS1,507.6555244211387,240.70067971541175,279.9785132207183,439.5748263443909,395.5864540992077,661.9252788073262,286.8860014196418,696.4334457102292,249.7443927674065,239.7537675555368,263.6648996736418,840.3645634638448,270.09994669975555,412.0289438652308,640.294693942968,302.7796795500431,672.094353601067,182.89602293823384,177.33694841615437,222.84653178732464,331.6110685179423,147.96529569892013,276.08259888729026,491.7943125872204,433.6349004144646,218.4569081909617,915.6982933130181,887.0503561330768,599.8886786513265,331.0511416400822,414.52681552951645,221.72738288274212,545.4785656845579,490.2513842427443,173.48624022732974,60.38119031936039,361.6717291290808,841.2537853191658,303.95502637212195,361.8977049460801,405.5500833932669,439.94962282768324,233.196188749667,425.9523484979449,514.4920099554267,324.2894095623144,776.4118887459268,635.3002020370412,170.92140211208564,456.85965560101045,138.39561736355483,416.5462842128069,329.23705953660806,388.2066781071764,384.8554449565366,243.23623118985955,422.38361628629167,630.7277327256578,645.7610915502918,403.04417876586166,651.9080388133325,202.27053201976966,277.0239978839007,195.81074057777366,266.54000649443157,709.8552830066668,516.5017515862188,265.18605149622107,339.5035273956748,919.168786987616,511.55939942929405,945.2563246873601,566.2087454236665,630.842525562582,191.66089977653897,594.3891304461713,152.4788145769544,365.2287348980239,412.3447014532457,150.63636097849283,201.8222716399098,318.7944620181237,282.15133705837655,340.43678846289265,629.1698101502033,253.52186711732904,180.2709404018776,511.5859921073034,582.5134648979102,499.243508068593,398.8869609751547,150.1971474903474,343.29906829519365,175.4639279468947,567.0882964192461,456.49248025005494,296.85869311557855,252.40189171490155,743.6609470316566,344.3026318401332
SBS2,189.65720244851795,99.42520512615071,393.3028188111285,824.5241728655662,99.10426927895355,5042.732328827797,255.18588687372124,507.9572989921549,0.0,731.0386741805341,41.041044023053814,318.729136983793,4499.580664725428,366.52239454197934,6272.7485510325505,0.0,251.29086833104253,117.72614001465138,0.0,0.0,1115.4730377209708,0.0,1551.6487592291903,3601.864921367706,1514.525895642389,1338.5073864150377,678.3444949071566,679.9244393216735,256.85570253313404,755.7082917510332,415.6023533150078,0.0,0.0,64.39646354116022,31.75003515478333,572.2120106739453,3476.7214470725758,103.11564401787459,0.0,277.2650590047274,0.0,0.0,77.183584551329,4645.956375937185,0.0,1070.2042434489624,150.42549330377352,513.9814942908049,8283.304602297436,1098.0417234050224,783.2637078169802,5181.975546398126,23.677350210444583,2788.186037243947,1692.9583006177156,193.2674524741819,432.3742469188513,0.0,0.0,1449.2890688264179,525.998799053994,0.0,757.0133761607359,2265.947643714452,611.2783581506848,1119.5785647906291,948.7999183881524,809.5167774952105,273.80144602355585,66.3380572188364,1567.5462678328042,162.76947797594957,113.08831184040213,3499.0259743147494,73.46935528766147,132.03923757972035,301.6655611153504,793.9826904261826,1804.0621541720695,7362.208474011579,71.2957720716071,162.2716540096999,1101.7315447149729,0.0,409.2533455747681,6891.530975583547,172.04985524835647,8963.301494163188,89.13489863711082,0.0,4220.776676246196,434.5018634485681,1587.7372849154879,267.03745126528463,0.0,0.0,518.1520475410143,1695.2655016364024,2566.5297459331277,1035.029743512187
SBS3,0.0,6194.663774161927,0.0,5243.929145871907,244.93536700133592,4600.523236581581,233.86675849096574,1898.0330171083115,3508.294158000676,3258.3988824810153,0.0,755.0397410730461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109.0906296073704,0.0,0.0,3744.391401963356,0.0,0.0,0.0,1200.56181699567,3977.6980134620535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4914.978301480551,4416.030660445039,0.0,3562.9939020275006,0.0,10894.883799129646,0.0,3024.503548429727,0.0,0.0,4425.842447749901,4609.023478374928,3288.0006136621346,0.0,8302.507347549123,512.0022709803641,5447.59533761744,0.0,11180.597974589857,5190.120118914885,0.0,172.27452563336902,8125.196030819686,0.0,0.0,0.0,0.0,3539.5560698857876,0.0,0.0,0.0,4684.81118167329,1742.214565465969,0.0,0.0,0.0,0.0,86.88669318744886,0.0,0.0,3827.8020166321403,2216.222006137105,0.0,0.0,736.657590501587,0.0,0.0,4027.6089130577743,0.0,0.0,0.0,10932.180644753096,0.0,0.0,0.0,7001.290843942684,4043.469038645855,3037.285360882777,0.0,3524.7995765929436,0.0,0.0,0.0,0.0,0.0
SBS5,802.0988195375469,2573.4832126011215,535.614861800015,1561.5033619942574,2537.545689795875,1392.7389173243487,2291.531579854971,1232.1058921084402,1926.4298670775117,1055.46949232923,1641.3395966087207,1589.0382461979675,0.0,3866.3545550026556,3088.4221547210736,937.0886279415639,1392.0966840989868,2121.1510449070097,3826.737755789237,1338.1378257678298,3197.9816029421245,1764.7047557974606,2474.459774680107,833.0674827932498,1837.2758864596367,1898.864656224697,1915.1821959921308,2068.3368188155723,4946.350864768347,4356.582848603247,2045.0640361441838,2551.275511984725,1105.9279960670438,2910.027732112268,1241.1633766610537,2144.1569786833907,1307.8607050607957,679.7439790369646,2818.7676579321105,1851.0610175320958,3500.075672126758,4351.536525331174,591.695516687314,2410.6807522859835,894.5165820734566,4569.665418491744,896.131513920187,1901.1355973726818,1643.207501300536,1077.8926163334972,2705.791522946612,2799.346794318451,1952.8184483699547,878.257483743183,1008.10925643371,1007.5804926604285,1775.6625759665606,1882.0914719578968,1810.5418248267756,2013.3376084401864,3117.398507710533,932.0006204724361,6141.489691912909,3708.622114351555,399.51236651783995,1844.330883107514,2212.3325464851237,2171.8165889273605,2075.4983150745575,1838.055112651009,1828.6784503661888,1160.6074738089,387.9979070550322,0.0,3299.02853919165,3535.3760491509306,1997.2918775590429,0.0,1363.9524724315897,3219.9281581561613,2655.8079658489432,0.0,3654.596103083949,2280.441782876179,3345.9466193667413,1184.4463007546055,1235.9520352149239,0.0,1968.0026851072116,821.79069634246,2561.2053690053,2693.2465529001965,4613.032072100602,2466.1499851429694,1805.049565480649,2854.5031627325216,1508.6516390259908,815.5661725391096,4465.491408465373,2333.2964554301125
SBS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99712918220405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.118777141036162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.1099571393725,0.0,0.0,452.0301077948807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.5731742570664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.1073136755042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6481.6339142842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.5248079532223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.30159387963917,0.0,3253.6543248197577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,3758.9569144020193,448.39883300363715,840.6844932733723,0.0,1278.3789463021194,1501.06423447332,56.26470330768659,0.0,0.0,308.15063129560554,445.8674853664821,0.0,2272.202441420479,1716.272441739944,0.0,0.0,0.0,296.6146225630328,0.0,213.95784953856264,1017.8398120912533,0.0,3131.8311389204155,0.0,0.0,2600.2477193739146,1155.501168050854,1915.2989088862037,821.2864145785729,2832.8369927990316,1295.0573139783935,48.11187889210943,1382.4442161801164,46.76774989910842,140.66265424191357,1616.6890674719225,343.42687739826255,18.15786544970602,6043.165273174261,0.0,0.0,190.0885174958725,601.4148222334917,517.5296563898597,0.0,772.4650308358821,345.5383733676283,1907.9157987285837,2825.905731314229,331.93226029585634,556.624631105211,195.74637778367736,0.0,0.0,997.278746583933,333.7868479686005,2271.6708845942308,4763.276359027095,1802.9582715399165,11036.91186287075,1453.4824991364792,142.10580348727203,0.0,2590.4290813422176,6196.445181868977,2134.4213771561554,2896.160602064897,168.99526671247764,6470.2944400917795,109.55554821933806,1354.649086787425,574.1264492267643,0.0,10262.532901258928,143.29342229081692,5067.834371110506,154.4522493004624,7186.571076441189,3203.4851089476215,0.0,4345.761595436941,6741.918716914155,1806.1926942710134,0.0,55.01871861134063,38.20017657939182,2317.8410394221078,4134.875633731501,42.48295535979673,851.2817923808533,1892.9186874979528,0.0,983.9973955149319,478.10055830915167,127.08013095735586,2446.712771568937,1142.5621763333704,174.01178681861307,2304.9227164358545,858.0448073585361
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.94798393445862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.85148493497758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.4872935370478,108.06221390058292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.29325314012044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84908893848272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.1535159183225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.50359559572644,0.0,0.0,0.0,0.0,321.5229477767337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.8730025348987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,922.9305495559604,0.0,0.0,0.0,169.3825620248087,0.0,0.0,0.0,0.0,335.4577578397253,0.0,0.0,194.5595097296184,0.0,0.0,0.0,905.5265827965773,1119.3954831961266,0.0,0.0,0.0,0.0,0.0,724.6495546650024,0.0,0.0,0.0,0.0,0.0,482.74163870429106,0.0,214.31709526315558,0.0,0.0,372.57728401924413,0.0,496.3339774398386,133.98124364925872,0.0,0.0,0.0,678.8666483377463,0.0,739.4421628877842,0.0,0.0,176.87639661715252,1120.7882256124028,1544.127552581218,0.0,0.0,368.2291358432993,0.0,0.0,772.809506274431,0.0,0.0,0.0,0.0,0.0,860.3729883305591,0.0,0.0,0.0,0.0,0.0,674.1463523201539,0.0,0.0,746.7961957374424,674.6442574900364,0.0,0.0,0.0,489.42372663854223,0.0,233.61237543693764,0.0,140.78116078322842,0.0,856.68385813237,0.0,0.0,389.6979325083255,0.0,373.4860508987706,0.0,0.0,689.0009335872534,439.37447895234754,0.0,0.0,225.04351106084732,615.6680762952753,2155.932020761421,0.0,262.8488277560532,0.0,0.0,0.0
