Sample,SBS1,SBS4,SBS5,SBS9,SBS12,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS22a,SBS24,SBS29,SBS30,SBS31,SBS35,SBS40
Liver-HCC::S.1,0.0,2830.3407329963275,4696.450037046476,0.0,0.0,143.60953968888597,0.0,0.0,129.0505576651939,0.0,0.0,423.57463167528687,1139.272518264979,0.0,0.0,177.12937522719096,0.0
Liver-HCC::S.2,53.15689968178702,3914.3935195622175,4442.739845380062,0.0,333.29621431830526,0.0,0.0,0.0,469.96559003530933,0.0,131.63549306968676,0.0,0.0,0.0,0.0,0.0,6140.976295273661
Liver-HCC::S.3,67.4641970854363,0.0,11027.018815944215,0.0,2243.931672865429,735.7779018444228,96.60553828648347,0.0,0.0,0.0,0.0,227.3120295516768,0.0,0.0,0.0,0.0,1305.0216730492475
Liver-HCC::S.4,0.0,0.0,8070.910975684046,131.19370216673042,125.32724718695273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.5,143.65137981494334,2105.2675535661288,2472.8557595028983,0.0,134.8496718117367,2152.9122231312954,0.0,0.0,0.0,0.0,64.41302480666717,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.6,360.74283795913493,0.0,6990.954337810056,0.0,1126.8119011440729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4903140032379,0.0,0.0,6664.986062475786
Liver-HCC::S.7,68.26243780334937,0.0,2400.276385001524,0.0,2857.842592609091,169.22016613642523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.66857282496373,0.0,137.29212811588317,371.79671865020526
Liver-HCC::S.8,224.8560177598691,136.6326594909066,5080.266480965208,116.72542861142833,552.963491000306,532.0793468050355,0.0,0.0,0.0,275.3766767406054,54.418724330173355,0.0,0.0,0.0,0.0,0.0,0.0
Liver-HCC::S.9,147.72245489616273,0.0,7616.171433593135,0.0,2154.115279264416,737.214192114231,44.814356847648725,0.0,0.0,0.0,0.0,0.0,0.0,218.8359494527253,301.07497680495305,0.0,0.0
Liver-HCC::S.10,172.2043948394435,264.42746726596533,8298.592549256311,0.0,541.0167193340038,0.0,145.9501879170898,0.0,171.08155150310233,370.2566452267304,0.0,232.83917474315479,499.11262285431997,0.0,0.0,0.0,563.3694767545734
