Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Ovary-AdenoCA::S.76	6965	0.976	1235.908	17.745%	182.867	21.807%	0.03101	0.912
Ovary-AdenoCA::S.77	5867	0.979	990.76	16.887%	140.021	20.252%	0.02399	0.914
Ovary-AdenoCA::S.78	4441	0.983	754.916	16.999%	129.351	18.347%	0.02269	0.971
Ovary-AdenoCA::S.79	5373	0.977	1018.527	18.956%	159.89	21.216%	0.03138	0.951
Ovary-AdenoCA::S.80	3146	0.98	671.447	21.343%	88.295	19.869%	0.03663	0.958
Ovary-AdenoCA::S.81	9943	0.987	1341.738	13.494%	187.224	15.936%	0.01336	0.949
Ovary-AdenoCA::S.82	15044	0.988	1862.02	12.377%	271.866	15.425%	0.01231	0.95
Ovary-AdenoCA::S.83	16442	0.987	2280.911	13.872%	315.687	16.063%	0.01659	0.951
Ovary-AdenoCA::S.84	7850	0.973	1504.616	19.167%	215.376	23.053%	0.0295	0.894
Ovary-AdenoCA::S.85	11528	0.965	2389.358	20.727%	362.766	26.22%	0.037	0.868
Ovary-AdenoCA::S.86	8653	0.983	1308.936	15.127%	188.264	18.403%	0.02006	0.932
Ovary-AdenoCA::S.87	5442	0.987	780.604	14.344%	106.3	16.276%	0.01597	0.951
Ovary-AdenoCA::S.88	14110	0.972	2394.4	16.97%	383.807	23.376%	0.02534	0.877
Ovary-AdenoCA::S.89	2883	0.978	599.484	20.794%	104.93	21.154%	0.03676	0.965
Ovary-AdenoCA::S.90	15857	0.981	2670.158	16.839%	362.773	19.664%	0.02343	0.913
Ovary-AdenoCA::S.91	3662	0.975	758.007	20.699%	101.17	22.212%	0.03378	0.921
Ovary-AdenoCA::S.92	12260	0.98	2017.301	16.454%	303.69	19.723%	0.02546	0.942
Ovary-AdenoCA::S.93	2310	0.984	449.004	19.437%	82.617	17.804%	0.03634	0.979
Ovary-AdenoCA::S.94	11053	0.985	1696.271	15.347%	223.562	17.507%	0.01775	0.928
Ovary-AdenoCA::S.95	5051	0.976	983.97	19.481%	133.399	21.785%	0.03066	0.916
Ovary-AdenoCA::S.96	6891	0.975	1321.692	19.18%	195.259	22.197%	0.02761	0.929
Ovary-AdenoCA::S.97	12607	0.972	2656.018	21.068%	354.884	23.64%	0.03723	0.9
Ovary-AdenoCA::S.98	5134	0.975	947.22	18.45%	132.974	22.134%	0.02865	0.894
Ovary-AdenoCA::S.99	4174	0.993	629.53	15.082%	89.29	11.851%	0.02496	0.99
