Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Skin-Melanoma::S.77	115543	0.994	14264.271	12.345%	5563.358	11.294%	0.01668	0.994
Skin-Melanoma::S.78	112560	0.992	23716.352	21.07%	5478.17	14.496%	0.06724	0.992
Skin-Melanoma::S.79	9379	0.99	1389.475	14.815%	199.308	14.018%	0.01728	0.982
Skin-Melanoma::S.80	211745	0.992	28623.198	13.518%	9514.374	12.386%	0.02468	0.992
Skin-Melanoma::S.81	62636	0.996	7218.373	11.524%	1695.121	9.221%	0.01475	0.995
Skin-Melanoma::S.82	237096	0.999	17491.712	7.377%	4755.315	5.289%	0.00797	0.998
Skin-Melanoma::S.83	113512	0.995	16036.685	14.128%	5243.745	12.798%	0.06273	0.995
Skin-Melanoma::S.84	70444	0.997	11715.415	16.631%	2365.256	11.047%	0.05366	0.997
Skin-Melanoma::S.85	166732	0.997	22858.161	13.71%	5356.745	8.246%	0.0543	0.996
Skin-Melanoma::S.86	72304	0.996	10914.144	15.095%	2594.714	9.306%	0.03995	0.996
Skin-Melanoma::S.87	125522	0.998	11382.12	9.068%	2714.803	5.964%	0.0112	0.998
Skin-Melanoma::S.88	50803	0.981	13820.587	27.204%	2997.443	21.926%	0.11122	0.979
Skin-Melanoma::S.89	70483	0.99	10933.13	15.512%	3351.502	14.223%	0.01956	0.989
Skin-Melanoma::S.90	109867	0.993	15678.011	14.27%	4230.877	11.834%	0.02181	0.992
Skin-Melanoma::S.91	77480	0.99	15176.21	19.587%	4443.611	17.197%	0.05125	0.99
Skin-Melanoma::S.92	12422	0.977	2700.236	21.738%	556.918	21.349%	0.03834	0.97
Skin-Melanoma::S.93	73622	0.997	6664.909	9.053%	1434.781	7.494%	0.00952	0.997
Skin-Melanoma::S.94	162364	0.978	38842.73	23.923%	14524.98	21.949%	0.09084	0.977
Skin-Melanoma::S.95	61808	0.996	8482.91	13.725%	1529.441	10.018%	0.02056	0.995
Skin-Melanoma::S.96	160597	0.983	40058.534	24.944%	12594.49	18.476%	0.06581	0.982
Skin-Melanoma::S.97	45215	0.994	7738.798	17.116%	2125.332	12.43%	0.05859	0.993
Skin-Melanoma::S.98	5374	0.992	791.44	14.727%	176.796	12.869%	0.03212	0.991
Skin-Melanoma::S.99	23209	0.997	3012.698	12.981%	595.475	8.625%	0.01502	0.996
