Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Liver-HCC::S.1	9501	0.984	1540.554	16.215%	223.159	17.566%	0.02147	0.962
Liver-HCC::S.2	15526	0.983	2352.431	15.152%	351.396	18.222%	0.01807	0.948
Liver-HCC::S.3	15722	0.984	2479.442	15.771%	379.119	17.615%	0.02083	0.965
Liver-HCC::S.4	8145	0.982	1385.466	17.01%	212.434	19.195%	0.02586	0.958
Liver-HCC::S.5	7034	0.992	913.276	12.984%	134.015	12.273%	0.01648	0.987
Liver-HCC::S.6	15377	0.984	2298.304	14.946%	335.617	17.759%	0.01823	0.948
Liver-HCC::S.7	6165	0.984	1068.956	17.339%	171.415	17.65%	0.02221	0.973
Liver-HCC::S.8	6970	0.969	1473.311	21.138%	241.463	24.933%	0.03452	0.933
Liver-HCC::S.9	11063	0.983	2000.861	18.086%	308.428	19.101%	0.02507	0.968
Liver-HCC::S.10	11395	0.967	2573.835	22.587%	378.673	26.179%	0.04091	0.913
Liver-HCC::S.11	13532	0.973	2558.921	18.91%	390.826	23.073%	0.02998	0.918
Liver-HCC::S.12	5718	0.972	1108.222	19.381%	174.888	23.365%	0.03058	0.929
Liver-HCC::S.13	20314	0.974	4572.335	22.508%	609.327	22.658%	0.04475	0.935
Liver-HCC::S.14	12715	0.979	2256.124	17.744%	332.687	20.701%	0.02738	0.938
Liver-HCC::S.15	5281	0.984	891.483	16.881%	121.603	17.637%	0.02273	0.959
Liver-HCC::S.16	10874	0.977	2160.178	19.866%	319.808	21.612%	0.03017	0.946
Liver-HCC::S.17	12465	0.987	1947.638	15.625%	313.665	16.086%	0.01898	0.978
Liver-HCC::S.18	5210	0.97	1258.307	24.152%	187.131	24.19%	0.06119	0.943
Liver-HCC::S.19	12023	0.981	2320.935	19.304%	325.749	19.596%	0.03593	0.957
Liver-HCC::S.20	7361	0.991	1022.937	13.897%	155.868	13.18%	0.01581	0.986
Liver-HCC::S.21	14760	0.981	2635.4	17.855%	390.485	19.326%	0.02484	0.959
Liver-HCC::S.22	4920	0.981	987.137	20.064%	180.705	19.868%	0.02998	0.973
Liver-HCC::S.23	11036	0.965	2280.116	20.661%	494.122	26.706%	0.03954	0.944
Liver-HCC::S.24	5009	0.978	1048.456	20.931%	161.944	20.87%	0.03584	0.961
Liver-HCC::S.25	12914	0.981	2259.058	17.493%	348.865	19.57%	0.02422	0.957
Liver-HCC::S.26	12042	0.982	2200.883	18.277%	331.793	18.807%	0.02366	0.965
Liver-HCC::S.27	9740	0.989	1413.469	14.512%	191.225	14.484%	0.01742	0.975
Liver-HCC::S.28	9013	0.977	1477.104	16.389%	237.599	21.317%	0.02291	0.926
Liver-HCC::S.29	9777	0.973	1808.677	18.499%	320.036	23.201%	0.02645	0.945
Liver-HCC::S.30	3375	0.975	697.352	20.662%	97.236	22.417%	0.03502	0.93
Liver-HCC::S.31	11258	0.976	1921.523	17.068%	347.697	21.889%	0.02333	0.949
Liver-HCC::S.32	10175	0.983	1511.487	14.855%	226.04	18.213%	0.01722	0.944
Liver-HCC::S.33	8823	0.967	1953.527	22.141%	324.843	25.417%	0.03769	0.934
Liver-HCC::S.34	12091	0.989	1804.293	14.923%	298.793	15.12%	0.01796	0.982
Liver-HCC::S.35	9789	0.979	1825.552	18.649%	327.775	20.652%	0.02523	0.967
Liver-HCC::S.37	13339	0.962	2991.826	22.429%	480.157	27.207%	0.03912	0.905
Liver-HCC::S.38	7488	0.988	1336.934	17.854%	181.974	15.649%	0.02586	0.978
Liver-HCC::S.39	19359	0.987	2680.653	13.847%	374.444	15.771%	0.0143	0.959
Liver-HCC::S.40	15611	0.988	2083.656	13.347%	297.497	15.356%	0.01535	0.963
Liver-HCC::S.41	14910	0.991	2022.468	13.565%	337.362	13.398%	0.01591	0.986
Liver-HCC::S.42	10910	0.98	2046.567	18.759%	287.92	19.807%	0.02835	0.951
Liver-HCC::S.43	10030	0.973	1982.266	19.763%	307.464	23.654%	0.03055	0.932
Liver-HCC::S.44	17567	0.992	2200.272	12.525%	346.586	12.853%	0.01495	0.986
Liver-HCC::S.45	10180	0.984	1735.789	17.051%	286.078	18.316%	0.02246	0.972
Liver-HCC::S.46	19020	0.975	3734.216	19.633%	526.053	22.484%	0.03215	0.92
Liver-HCC::S.47	14720	0.972	2748.661	18.673%	461.531	23.672%	0.02902	0.936
Liver-HCC::S.48	13157	0.974	2505.302	19.042%	421.792	23.025%	0.02715	0.945
Liver-HCC::S.49	10113	0.975	2421.003	23.94%	339.709	22.509%	0.04873	0.952
Liver-HCC::S.50	21157	0.978	4522.868	21.378%	732.802	20.956%	0.0403	0.965
Liver-HCC::S.52	21976	0.964	5065.969	23.052%	765.201	27.249%	0.048	0.905
Liver-HCC::S.53	14722	0.981	2411.218	16.378%	358.776	19.707%	0.02268	0.939
Liver-HCC::S.54	10161	0.986	1461.579	14.384%	229.33	16.806%	0.0186	0.966
Liver-HCC::S.55	9369	0.965	1892.852	20.203%	351.497	26.437%	0.03021	0.926
Liver-HCC::S.56	14502	0.986	2300.353	15.862%	402.364	16.912%	0.01834	0.977
Liver-HCC::S.57	11233	0.993	1421.143	12.652%	215.42	11.956%	0.01489	0.988
Liver-HCC::S.58	22578	0.975	4479.566	19.84%	683.345	22.242%	0.03055	0.942
Liver-HCC::S.59	24881	0.984	3630.793	14.593%	642.729	17.693%	0.02019	0.97
Liver-HCC::S.60	7962	0.983	1286.977	16.164%	196.688	18.103%	0.02042	0.962
Liver-HCC::S.61	14713	0.98	2297.277	15.614%	443.596	19.738%	0.01903	0.964
Liver-HCC::S.62	11018	0.972	2311.158	20.976%	343.876	23.436%	0.03485	0.933
Liver-HCC::S.63	12391	0.977	1999.138	16.134%	346.107	21.261%	0.02249	0.942
Liver-HCC::S.64	11283	0.989	1692.387	14.999%	241.391	15.058%	0.01755	0.976
Liver-HCC::S.65	9690	0.965	2194.765	22.65%	338.388	26.536%	0.0386	0.91
Liver-HCC::S.66	8230	0.97	1835.202	22.299%	266.621	24.147%	0.03461	0.928
Liver-HCC::S.67	10412	0.966	2327.488	22.354%	353.919	25.971%	0.0441	0.914
Liver-HCC::S.68	13899	0.968	3214.523	23.128%	459.082	25.281%	0.0474	0.918
Liver-HCC::S.69	9214	0.986	1363.487	14.798%	209.118	16.987%	0.01984	0.965
Liver-HCC::S.70	15860	0.975	3254.217	20.518%	440.445	22.301%	0.03573	0.923
Liver-HCC::S.71	15357	0.988	2193.183	14.281%	357.376	15.582%	0.01718	0.977
Liver-HCC::S.72	5663	0.975	1199.431	21.18%	173.262	22.317%	0.03812	0.944
Liver-HCC::S.73	13751	0.986	1927.585	14.018%	314.831	16.633%	0.01678	0.97
Liver-HCC::S.74	6933	0.976	1288.737	18.588%	194.365	21.809%	0.02952	0.934
Liver-HCC::S.75	16639	0.968	3993.895	24.003%	614.551	25.695%	0.04432	0.94
Liver-HCC::S.76	10414	0.972	2028.555	19.479%	323.808	23.805%	0.03233	0.927
Liver-HCC::S.77	15387	0.988	2212.228	14.377%	332.443	15.656%	0.01721	0.973
Liver-HCC::S.78	9644	0.961	2381.522	24.694%	363.709	27.741%	0.05525	0.908
Liver-HCC::S.79	8696	0.979	1665.782	19.156%	242.159	20.291%	0.03314	0.953
Liver-HCC::S.80	23465	0.99	2988.675	12.737%	437.668	14.323%	0.01389	0.973
Liver-HCC::S.81	6166	0.983	1070.718	17.365%	158.269	18.533%	0.02749	0.966
Liver-HCC::S.82	9604	0.982	1718.38	17.892%	245.087	18.779%	0.02515	0.96
Liver-HCC::S.83	9392	0.978	1908.195	20.317%	263.889	21.06%	0.02917	0.945
Liver-HCC::S.84	16233	0.987	2290.485	14.11%	356.093	16.116%	0.01509	0.97
Liver-HCC::S.85	13339	0.99	1721.324	12.904%	244.046	13.899%	0.01375	0.976
Liver-HCC::S.86	7996	0.985	1201.556	15.027%	177.445	17.352%	0.01856	0.959
