Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Liver-HCC::S.87	20596	0.968	4402.131	21.374%	708.855	25.104%	0.03153	0.927
Liver-HCC::S.88	10582	0.972	2210.997	20.894%	335.216	23.71%	0.03637	0.93
Liver-HCC::S.89	8076	0.976	1534.811	19.005%	312.596	22.106%	0.02968	0.963
Liver-HCC::S.90	9257	0.956	2470.913	26.692%	366.835	29.183%	0.05501	0.897
Liver-HCC::S.91	6602	0.962	1376.899	20.856%	301.354	27.429%	0.03497	0.939
Liver-HCC::S.92	7134	0.98	1398.522	19.604%	211.273	19.952%	0.02989	0.962
Liver-HCC::S.93	7820	0.975	1564.002	20.0%	225.837	22.373%	0.03277	0.931
Liver-HCC::S.94	6681	0.972	1252.097	18.741%	219.077	23.614%	0.02943	0.938
Liver-HCC::S.95	7703	0.975	1457.325	18.919%	222.196	22.327%	0.03436	0.934
Liver-HCC::S.96	7040	0.988	1024.66	14.555%	162.294	15.76%	0.01693	0.976
Liver-HCC::S.97	13363	0.978	2407.487	18.016%	379.327	21.405%	0.03078	0.948
Liver-HCC::S.98	16599	0.986	2452.764	14.777%	380.198	16.954%	0.01842	0.966
Liver-HCC::S.99	11663	0.968	2596.102	22.259%	396.805	25.045%	0.03799	0.925
