Samples	SBS1	SBS2	SBS4	SBS5	SBS12	SBS13	SBS18	SBS22a	SBS22b	SBS40a	SBS40b	SBS40c
Kidney-RCC::S.1	355	0	1453	1933	0	0	0	0	0	0	1742	0
Kidney-RCC::S.2	195	0	741	569	0	0	0	0	1230	0	1950	0
Kidney-RCC::S.3	105	0	799	0	0	0	0	0	0	1472	873	0
Kidney-RCC::S.4	340	0	0	373	0	0	0	0	0	2525	2357	0
Kidney-RCC::S.5	160	0	0	1019	0	0	0	0	4248	1898	1897	0
Kidney-RCC::S.6	177	0	0	169	0	0	0	0	0	1507	0	0
Kidney-RCC::S.7	126	0	403	0	0	0	0	0	0	1655	882	0
Kidney-RCC::S.8	7	0	1368	816	466	0	0	0	0	0	2929	0
Kidney-RCC::S.9	172	0	0	53	0	0	0	0	0	2369	1560	0
Kidney-RCC::S.10	185	0	850	232	0	0	0	0	0	1761	0	0
Kidney-RCC::S.11	57	0	1349	394	0	0	0	0	0	3129	0	0
Kidney-RCC::S.12	280	0	631	0	717	0	0	0	0	2153	0	0
Kidney-RCC::S.13	0	0	0	290	0	0	0	0	0	3183	0	0
Kidney-RCC::S.14	138	0	951	0	0	0	0	0	0	0	1247	0
Kidney-RCC::S.15	324	0	0	1094	0	0	0	0	6673	2814	0	0
Kidney-RCC::S.16	0	0	0	62	0	0	0	0	0	1688	923	0
Kidney-RCC::S.17	120	0	2154	226	0	0	0	0	0	0	0	0
Kidney-RCC::S.18	57	0	596	0	0	0	0	0	0	0	573	0
Kidney-RCC::S.19	156	0	1183	0	0	0	0	0	0	0	1255	0
Kidney-RCC::S.20	165	0	0	346	0	0	0	0	0	2333	723	0
Kidney-RCC::S.21	229	301	0	148	0	0	0	0	0	2543	2102	0
Kidney-RCC::S.22	2	0	1245	999	0	0	0	0	4140	0	3305	0
Kidney-RCC::S.23	362	0	0	16	0	0	0	0	0	2649	0	0
Kidney-RCC::S.24	0	0	557	74	0	0	0	0	0	0	1432	0
Kidney-RCC::S.25	266	0	0	2676	0	0	0	22381	0	0	0	0
Kidney-RCC::S.26	98	0	0	0	0	0	0	0	0	1387	777	0
Kidney-RCC::S.27	137	0	0	61	0	0	0	0	0	1044	978	0
Kidney-RCC::S.28	256	0	0	63	0	0	0	0	0	2280	1208	1518
Kidney-RCC::S.29	465	0	1010	0	0	0	0	0	0	0	1609	0
Kidney-RCC::S.30	347	0	0	131	0	0	0	0	0	5358	0	0
Kidney-RCC::S.31	158	0	0	0	0	0	0	0	0	0	1033	2129
Kidney-RCC::S.32	6	0	0	454	0	0	0	0	5890	0	2701	0
Kidney-RCC::S.33	113	0	0	1725	0	0	0	0	0	3523	0	0
Kidney-RCC::S.34	160	0	696	65	0	0	0	0	0	0	497	0
Kidney-RCC::S.35	160	0	824	33	0	0	0	0	0	2430	2739	0
Kidney-RCC::S.36	0	0	0	119	0	0	0	0	0	0	874	0
Kidney-RCC::S.37	8	0	0	24	0	0	0	0	0	1289	0	0
Kidney-RCC::S.38	205	0	495	168	0	0	0	0	0	1801	0	0
Kidney-RCC::S.39	118	0	420	0	0	0	0	0	0	1284	0	0
Kidney-RCC::S.40	0	0	0	47	0	0	0	0	0	0	1079	0
Kidney-RCC::S.41	0	0	0	1859	0	155	0	0	0	1748	0	0
Kidney-RCC::S.42	214	0	0	1598	1297	0	0	918	0	1459	0	0
Kidney-RCC::S.43	336	0	1418	2378	0	0	0	0	0	0	1630	0
Kidney-RCC::S.44	192	0	0	0	0	406	0	0	463	1010	1052	0
Kidney-RCC::S.45	118	0	0	17	0	0	0	0	0	2100	1554	0
Kidney-RCC::S.46	299	0	0	43	0	0	0	0	0	1601	1405	0
Kidney-RCC::S.47	153	0	632	371	0	0	0	0	0	0	3474	0
Kidney-RCC::S.48	401	0	0	885	0	0	0	0	2005	2182	0	0
Kidney-RCC::S.49	142	0	0	0	0	0	0	0	0	2092	1131	0
Kidney-RCC::S.50	212	0	1292	211	0	0	0	0	0	1310	1482	0
Kidney-RCC::S.51	360	0	0	0	0	0	407	0	0	1919	0	0
Kidney-RCC::S.52	257	0	0	0	0	0	0	0	0	2238	1455	0
Kidney-RCC::S.53	511	0	0	0	0	0	0	0	0	2142	1281	0
Kidney-RCC::S.54	71	0	1681	0	0	0	0	0	0	0	899	0
Kidney-RCC::S.55	540	0	0	0	0	0	0	0	0	2946	0	0
Kidney-RCC::S.56	0	0	0	682	0	0	0	1353	0	0	2018	0
Kidney-RCC::S.57	118	0	674	130	0	0	0	0	0	1404	2143	0
Kidney-RCC::S.58	446	0	0	482	0	0	2410	0	0	0	1572	0
Kidney-RCC::S.59	19	0	1183	0	0	0	0	0	0	2188	2060	0
Kidney-RCC::S.60	267	0	908	0	0	0	0	0	0	1196	0	0
Kidney-RCC::S.61	0	0	1198	0	0	0	1594	0	0	1230	0	0
Kidney-RCC::S.62	0	0	0	1746	0	0	0	0	0	3315	0	0
Kidney-RCC::S.63	20	0	0	0	0	0	0	0	0	2893	1520	0
Kidney-RCC::S.64	4	0	1467	271	0	0	0	0	0	3504	0	0
Kidney-RCC::S.65	77	0	1528	753	0	0	0	0	0	2852	2334	0
Kidney-RCC::S.66	318	0	0	1287	0	509	0	0	0	0	2838	2661
Kidney-RCC::S.67	148	48	0	0	0	299	364	0	0	598	759	0
