Samples	SBS1	SBS2	SBS4	SBS5	SBS12	SBS13	SBS18	SBS22a	SBS22b	SBS40a	SBS40b	SBS40c
Kidney-RCC::S.68	147	0	0	0	0	190	0	0	0	918	514	0
Kidney-RCC::S.69	131	0	0	142	0	0	0	0	0	1897	1074	0
Kidney-RCC::S.70	237	0	494	1020	0	0	0	0	0	0	885	0
Kidney-RCC::S.71	168	0	1134	149	0	0	0	0	0	3185	0	0
Kidney-RCC::S.72	242	0	0	0	0	0	0	0	0	1664	1257	0
Kidney-RCC::S.73	344	0	0	0	0	0	0	0	0	4081	1768	0
Kidney-RCC::S.74	89	0	793	0	0	0	0	0	0	1344	0	1672
Kidney-RCC::S.75	13	0	0	0	0	0	0	0	2289	0	2883	0
Kidney-RCC::S.76	275	0	508	27	0	0	0	0	0	0	803	0
Kidney-RCC::S.77	225	0	638	1016	0	0	0	0	0	1444	1483	0
Kidney-RCC::S.78	0	0	1356	795	0	0	0	0	0	2782	2364	0
Kidney-RCC::S.79	228	0	548	0	0	0	0	0	0	0	1355	0
Kidney-RCC::S.80	226	0	0	1746	0	0	0	0	0	1625	0	0
Kidney-RCC::S.81	131	0	1047	241	0	0	0	0	0	0	0	2779
Kidney-RCC::S.82	314	0	2659	2150	0	0	0	8906	0	0	0	0
Kidney-RCC::S.83	115	0	0	0	0	0	0	0	0	1419	1323	0
Kidney-RCC::S.84	12	0	0	85	0	0	0	0	0	1162	1116	0
Kidney-RCC::S.85	206	0	0	42	0	0	0	0	0	1218	2296	0
Kidney-RCC::S.86	520	0	0	0	0	0	0	0	2314	1838	0	0
Kidney-RCC::S.87	21	0	0	0	0	0	0	0	0	2173	1709	0
Kidney-RCC::S.88	234	0	1212	9	0	0	0	0	0	2148	0	1385
Kidney-RCC::S.89	204	0	0	148	0	0	0	0	0	1536	2554	0
Kidney-RCC::S.90	11	0	479	203	0	0	0	0	0	1347	0	0
Kidney-RCC::S.91	65	0	1994	2954	0	0	0	0	0	0	0	0
Kidney-RCC::S.92	9	0	0	2342	0	0	1176	0	0	0	1845	0
Kidney-RCC::S.93	0	0	0	1415	0	0	0	0	0	2121	1277	0
Kidney-RCC::S.94	179	0	0	0	0	0	0	0	0	3232	1233	0
Kidney-RCC::S.95	399	0	1014	365	0	0	0	0	0	4068	0	0
Kidney-RCC::S.96	6	0	1291	155	0	144	0	0	0	1252	757	0
Kidney-RCC::S.97	43	0	954	0	0	0	0	0	0	1228	0	0
Kidney-RCC::S.98	310	94	1993	263	0	257	0	0	0	0	1506	0
Kidney-RCC::S.99	323	0	0	0	0	0	0	0	0	2467	1932	0
