Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS13	SBS17a	SBS17b	SBS38	SBS40
Skin-Melanoma::S.77	0	0	0	94652	20891	0	0	0	0	0	0	0
Skin-Melanoma::S.78	1553	0	0	67833	36183	0	6991	0	0	0	0	0
Skin-Melanoma::S.79	0	0	5225	0	778	1994	1382	0	0	0	0	0
Skin-Melanoma::S.80	3332	0	0	144602	39850	23961	0	0	0	0	0	0
Skin-Melanoma::S.81	1337	0	8978	27639	19789	0	4893	0	0	0	0	0
Skin-Melanoma::S.82	578	0	10361	201094	0	25063	0	0	0	0	0	0
Skin-Melanoma::S.83	0	0	0	98098	0	0	0	0	0	15414	0	0
Skin-Melanoma::S.84	0	0	0	25733	37743	6968	0	0	0	0	0	0
Skin-Melanoma::S.85	1274	25453	10555	107099	22351	0	0	0	0	0	0	0
Skin-Melanoma::S.86	478	19148	7841	37553	7284	0	0	0	0	0	0	0
Skin-Melanoma::S.87	130	0	7674	85215	27484	0	5019	0	0	0	0	0
Skin-Melanoma::S.88	268	0	0	5430	35649	9456	0	0	0	0	0	0
Skin-Melanoma::S.89	81	0	12970	50712	0	6720	0	0	0	0	0	0
Skin-Melanoma::S.90	0	0	7381	44909	51076	6501	0	0	0	0	0	0
Skin-Melanoma::S.91	853	0	0	40140	36487	0	0	0	0	0	0	0
Skin-Melanoma::S.92	135	0	3192	0	0	6548	2547	0	0	0	0	0
Skin-Melanoma::S.93	0	0	16842	31104	12440	13236	0	0	0	0	0	0
Skin-Melanoma::S.94	3973	0	0	158391	0	0	0	0	0	0	0	0
Skin-Melanoma::S.95	188	0	9892	28818	0	22910	0	0	0	0	0	0
Skin-Melanoma::S.96	0	0	0	129490	31107	0	0	0	0	0	0	0
Skin-Melanoma::S.97	1152	0	0	35817	8246	0	0	0	0	0	0	0
Skin-Melanoma::S.98	554	0	0	0	3519	0	1301	0	0	0	0	0
Skin-Melanoma::S.99	0	0	2294	0	0	20915	0	0	0	0	0	0
