,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.48,0.0,0.0,6400.0,29653.0,14745.0,7481.0,1120.0,0.0,0.0,0.0,0.0,5703.0
Skin-Melanoma::S.49,328.0,1755.0,2682.0,25905.0,2150.0,0.0,1534.0,0.0,0.0,0.0,4103.0,11443.0
Skin-Melanoma::S.50,0.0,0.0,0.0,9967.0,4866.0,6689.0,3330.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.51,0.0,0.0,0.0,108970.0,105270.0,0.0,8032.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.52,743.0,0.0,3811.0,38874.0,82265.0,0.0,8015.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.53,0.0,22781.0,0.0,47212.0,79513.0,3099.0,2180.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.54,0.0,1960.0,0.0,0.0,39245.0,0.0,2825.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.55,0.0,0.0,0.0,277764.0,20842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.56,0.0,0.0,0.0,53429.0,2505.0,1527.0,2465.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.57,755.0,0.0,0.0,43442.0,16802.0,0.0,4884.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.58,0.0,9709.0,6212.0,165276.0,31385.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.59,0.0,51983.0,15700.0,232365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.60,0.0,0.0,0.0,70557.0,16130.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.61,0.0,0.0,0.0,76759.0,49129.0,0.0,2444.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.62,0.0,4066.0,0.0,59127.0,2158.0,12023.0,5154.0,0.0,0.0,0.0,0.0,0.0
